run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,config_batch_id,config_eval_group
32568447,2026-04-01T17:36:30.041126,44,w_o_semantic_prior,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,ablation_20260401_173620,ablation_multiseed_retrained_ppo
f81777f7,2026-04-01T17:36:30.816959,42,w_o_confidence,action_prior,1250,0.8488,1598.59,2.0113,0.0121,74.82,ablation_20260401_173620,ablation_multiseed_retrained_ppo
8531ca00,2026-04-01T17:36:31.606742,43,w_o_confidence,action_prior,1250,0.8576,1634.22,1.9905,0.0118,75.81,ablation_20260401_173620,ablation_multiseed_retrained_ppo
f638f912,2026-04-01T17:36:32.388027,44,w_o_confidence,action_prior,1250,0.8592,1599.4,1.9956,0.0146,75.94,ablation_20260401_173620,ablation_multiseed_retrained_ppo
bbd29cc4,2026-04-01T17:36:33.193298,42,w_o_partial_offloading,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,ablation_20260401_173620,ablation_multiseed_retrained_ppo
8f5aa3fd,2026-04-01T17:36:34.006359,43,w_o_partial_offloading,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,ablation_20260401_173620,ablation_multiseed_retrained_ppo
d002ff6b,2026-04-01T17:36:34.848614,44,w_o_partial_offloading,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,ablation_20260401_173620,ablation_multiseed_retrained_ppo
7d010be6,2026-04-01T17:36:35.663216,42,w_o_battery_awareness,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,ablation_20260401_173620,ablation_multiseed_retrained_ppo
937db928,2026-04-01T17:36:36.456340,43,w_o_battery_awareness,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,ablation_20260401_173620,ablation_multiseed_retrained_ppo
3852234b,2026-04-01T17:36:37.229418,44,w_o_battery_awareness,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,ablation_20260401_173620,ablation_multiseed_retrained_ppo
a9e7502d,2026-04-01T17:36:38.034025,42,w_o_queue_awareness,action_prior,1250,0.8488,1658.8,2.0113,0.0121,74.82,ablation_20260401_173620,ablation_multiseed_retrained_ppo
b894c317,2026-04-01T17:36:38.810960,43,w_o_queue_awareness,action_prior,1250,0.8576,1693.91,1.9905,0.0118,75.81,ablation_20260401_173620,ablation_multiseed_retrained_ppo
df8dbc76,2026-04-01T17:36:39.602327,44,w_o_queue_awareness,action_prior,1250,0.8592,1670.46,1.9956,0.0146,75.94,ablation_20260401_173620,ablation_multiseed_retrained_ppo
6d020cf4,2026-04-01T17:36:40.390528,42,w_o_mobility_features,action_prior,1250,0.7688,669.28,2.5779,0.2473,63.99,ablation_20260401_173620,ablation_multiseed_retrained_ppo
3b4cb91c,2026-04-01T17:36:41.150629,43,w_o_mobility_features,action_prior,1250,0.7672,634.31,2.642,0.2627,63.51,ablation_20260401_173620,ablation_multiseed_retrained_ppo
3391f2d1,2026-04-01T17:36:41.924933,44,w_o_mobility_features,action_prior,1250,0.736,534.9,2.6243,0.2565,60.48,ablation_20260401_173620,ablation_multiseed_retrained_ppo
5e41776d,2026-04-01T18:01:18.157434,42,full_model,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
fe747d27,2026-04-01T18:01:57.111757,43,full_model,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
d88e685b,2026-04-01T18:02:35.744453,44,full_model,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
c8c669ba,2026-04-01T18:03:00.912477,42,w_o_semantics,action_prior,500,0.866,2107.42,1.9738,0.0227,76.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
d24fe330,2026-04-01T18:03:26.547277,43,w_o_semantics,action_prior,500,0.856,1688.31,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
bcba668f,2026-04-01T18:03:51.825236,44,w_o_semantics,action_prior,500,0.664,1750.49,3.5707,0.1387,48.55,ablation_retrain_20260401_180038,ablation_retraining_multiseed
29d48ee3,2026-04-01T18:04:30.844415,42,w_o_reward_shaping,action_prior,500,0.876,-56.8,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
e6253bf2,2026-04-01T18:05:09.572454,43,w_o_reward_shaping,action_prior,500,0.856,-56.71,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
0c903d59,2026-04-01T18:05:48.266400,44,w_o_reward_shaping,action_prior,500,0.84,-58.08,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
237068a8,2026-04-01T18:06:26.822054,42,w_o_semantic_prior,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
ba783d2f,2026-04-01T18:07:05.268756,43,w_o_semantic_prior,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
6f98976a,2026-04-01T18:07:42.856873,44,w_o_semantic_prior,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
c185a381,2026-04-01T18:08:21.806161,42,w_o_confidence,action_prior,500,0.876,1739.97,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
7faa4ff5,2026-04-01T18:09:00.684237,43,w_o_confidence,action_prior,500,0.856,1676.26,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
c5d46d40,2026-04-01T18:09:39.485020,44,w_o_confidence,action_prior,500,0.84,1570.38,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
dc57849a,2026-04-01T18:10:18.223926,42,w_o_partial_offloading,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
de321948,2026-04-01T18:10:57.383782,43,w_o_partial_offloading,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
52b665bd,2026-04-01T18:11:35.927604,44,w_o_partial_offloading,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
93ae86e6,2026-04-01T18:12:14.583849,42,w_o_battery_awareness,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
f51a20e8,2026-04-01T18:12:53.783884,43,w_o_battery_awareness,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
d91b0de9,2026-04-01T18:13:32.464667,44,w_o_battery_awareness,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
03b15b5d,2026-04-01T18:14:11.472905,42,w_o_queue_awareness,action_prior,500,0.876,1803.7,1.9738,0.0142,77.73,ablation_retrain_20260401_180038,ablation_retraining_multiseed
fb015dd2,2026-04-01T18:14:50.393310,43,w_o_queue_awareness,action_prior,500,0.856,1712.82,2.0064,0.0148,75.57,ablation_retrain_20260401_180038,ablation_retraining_multiseed
3b2b920b,2026-04-01T18:15:29.130030,44,w_o_queue_awareness,action_prior,500,0.84,1641.4,2.0234,0.0138,73.88,ablation_retrain_20260401_180038,ablation_retraining_multiseed
8d8b0823,2026-04-01T18:16:07.649274,42,w_o_mobility_features,action_prior,500,0.744,610.39,2.6873,0.2516,60.96,ablation_retrain_20260401_180038,ablation_retraining_multiseed
a3b147c7,2026-04-01T18:16:46.795707,43,w_o_mobility_features,action_prior,500,0.766,600.33,2.6158,0.2582,63.52,ablation_retrain_20260401_180038,ablation_retraining_multiseed
16fcf0f9,2026-04-01T18:17:25.113075,44,w_o_mobility_features,action_prior,500,0.716,613.97,2.5675,0.2503,58.76,ablation_retrain_20260401_180038,ablation_retraining_multiseed
